month,gene_disease,num_papers
2007-01-01,cd538g<->breast cancer,20
2007-02-01,cd538g<->breast cancer,10
2007-03-01,cd538g<->breast cancer,8
2007-04-01,cd538g<->breast cancer,14
2007-05-01,cd538g<->breast cancer,4
2007-06-01,cd538g<->breast cancer,7
2007-07-01,cd538g<->breast cancer,3
2007-08-01,cd538g<->breast cancer,13
2007-09-01,cd538g<->breast cancer,19
2007-10-01,cd538g<->breast cancer,6
2007-11-01,cd538g<->breast cancer,12
2007-12-01,cd538g<->breast cancer,0
2008-01-01,cd538g<->breast cancer,12
2008-02-01,cd538g<->breast cancer,5
2008-03-01,cd538g<->breast cancer,20
2008-04-01,cd538g<->breast cancer,18
2008-05-01,cd538g<->breast cancer,8
2008-06-01,cd538g<->breast cancer,16
2008-07-01,cd538g<->breast cancer,3
2008-08-01,cd538g<->breast cancer,2
2008-09-01,cd538g<->breast cancer,9
2008-10-01,cd538g<->breast cancer,11
2008-11-01,cd538g<->breast cancer,19
2008-12-01,cd538g<->breast cancer,11
2009-01-01,cd538g<->breast cancer,11
2009-02-01,cd538g<->breast cancer,5
2009-03-01,cd538g<->breast cancer,7
2009-04-01,cd538g<->breast cancer,15
2009-05-01,cd538g<->breast cancer,15
2009-06-01,cd538g<->breast cancer,17
2009-07-01,cd538g<->breast cancer,20
2009-08-01,cd538g<->breast cancer,1
2009-09-01,cd538g<->breast cancer,2
2009-10-01,cd538g<->breast cancer,18
2009-11-01,cd538g<->breast cancer,13
2009-12-01,cd538g<->breast cancer,4
2010-01-01,cd538g<->breast cancer,11
2010-02-01,cd538g<->breast cancer,0
2010-03-01,cd538g<->breast cancer,2
2010-04-01,cd538g<->breast cancer,18
2010-05-01,cd538g<->breast cancer,5
2010-06-01,cd538g<->breast cancer,16
2010-07-01,cd538g<->breast cancer,5
2010-08-01,cd538g<->breast cancer,11
2010-09-01,cd538g<->breast cancer,5
2010-10-01,cd538g<->breast cancer,0
2010-11-01,cd538g<->breast cancer,0
2010-12-01,cd538g<->breast cancer,16
2011-01-01,cd538g<->breast cancer,15
2011-02-01,cd538g<->breast cancer,1
2011-03-01,cd538g<->breast cancer,1
2011-04-01,cd538g<->breast cancer,18
2011-05-01,cd538g<->breast cancer,10
2011-06-01,cd538g<->breast cancer,4
2011-07-01,cd538g<->breast cancer,5
2011-08-01,cd538g<->breast cancer,10
2011-09-01,cd538g<->breast cancer,2
2011-10-01,cd538g<->breast cancer,13
2011-11-01,cd538g<->breast cancer,9
2011-12-01,cd538g<->breast cancer,11
2012-01-01,cd538g<->breast cancer,13
2012-02-01,cd538g<->breast cancer,7
2012-03-01,cd538g<->breast cancer,12
2012-04-01,cd538g<->breast cancer,19
2012-05-01,cd538g<->breast cancer,4
2012-06-01,cd538g<->breast cancer,20
2012-07-01,cd538g<->breast cancer,6
2012-08-01,cd538g<->breast cancer,8
2012-09-01,cd538g<->breast cancer,9
2012-10-01,cd538g<->breast cancer,5
2012-11-01,cd538g<->breast cancer,1
2012-12-01,cd538g<->breast cancer,20
2013-01-01,cd538g<->breast cancer,9
2013-02-01,cd538g<->breast cancer,21
2013-03-01,cd538g<->breast cancer,20
2013-04-01,cd538g<->breast cancer,29
2013-05-01,cd538g<->breast cancer,27
2013-06-01,cd538g<->breast cancer,30
2013-07-01,cd538g<->breast cancer,23
2013-08-01,cd538g<->breast cancer,26
2013-09-01,cd538g<->breast cancer,22
2013-10-01,cd538g<->breast cancer,20
2013-11-01,cd538g<->breast cancer,20
2013-12-01,cd538g<->breast cancer,27
2014-01-01,cd538g<->breast cancer,21
2014-02-01,cd538g<->breast cancer,26
2014-03-01,cd538g<->breast cancer,29
2014-04-01,cd538g<->breast cancer,20
2014-05-01,cd538g<->breast cancer,22
